,ID,Key,Name,Mascot,Conference,ELO,Record
109,110,IOWAST,Iowa State,Cyclones,Big 12,1128.8370477866608,7 - 0
94,95,MICH,Michigan,Wolverines,Big Ten,1115.8228137828937,7 - 0
25,26,DUKE,Duke,Blue Devils,Atlantic Coast,1111.4111605704318,8 - 0
246,247,ARZ,Arizona,Wildcats,Big 12,1103.967248719332,7 - 0
96,97,MST,Michigan State,Spartans,Big Ten,1103.5058215994745,7 - 0
92,93,IND,Indiana,Hoosiers,Big Ten,1098.7966991263575,7 - 0
93,94,PUR,Purdue,Boilermakers,Big Ten,1097.0875092769647,7 - 0
333,334,GNZG,Gonzaga,Bulldogs,West Coast,1097.0721367932429,7 - 1
272,273,VAND,Vanderbilt,Commodores,Southeastern,1094.8380563007709,8 - 0
90,91,IOWA,Iowa,Hawkeyes,Big Ten,1094.6661428805537,7 - 0
112,113,OKST,Oklahoma State,Cowboys,Big 12,1094.4968717873103,7 - 0
23,24,LOU,Louisville,Cardinals,Atlantic Coast,1094.424673500328,7 - 0
279,280,MISSR,Missouri,Tigers,Southeastern,1089.285749178331,8 - 0
268,269,LSU,LSU,Tigers,Southeastern,1088.7401840376497,7 - 0
249,250,COL,Colorado,Buffaloes,Big 12,1085.8980846657078,7 - 0
0,1,SMU,SMU,Mustangs,Atlantic Coast,1082.0887980545274,7 - 0
276,277,TENN,Tennessee,Volunteers,Southeastern,1077.319698812689,7 - 1
232,233,BELM,Belmont,Bruins,Missouri Valley,1073.90676548632,8 - 0
5,6,HOU,Houston,Cougars,Big 12,1073.6394419564547,7 - 1
245,246,USC,USC,Trojans,Big Ten,1072.2847119762837,6 - 1
335,336,BYU,BYU,Cougars,Big 12,1069.9206604289286,6 - 1
361,394,CABAP,California Baptist,Lancers,Western Athletic,1067.655640588909,7 - 0
59,60,SETON,Seton Hall,Pirates,Big East,1067.3998509355733,7 - 1
55,56,GMSN,George Mason,Patriots,Atlantic 10,1065.453406965154,8 - 0
111,112,KANST,Kansas State,Wildcats,Big 12,1065.1902349408094,6 - 1
2,3,UCONN,Connecticut,Huskies,Big East,1065.1009768796516,6 - 1
7,8,UCF,UCF,Knights,Big 12,1064.4221486078793,7 - 1
26,27,CLMSN,Clemson,Tigers,Atlantic Coast,1063.0016050230417,7 - 1
178,179,BUF,Buffalo,Bulls,Mid-American,1062.0103072519348,8 - 0
219,220,UTAHST,Utah State,Aggies,Mountain West,1061.5279354329032,7 - 0
98,99,NEBR,Nebraska,Cornhuskers,Big Ten,1061.1839755962637,7 - 1
864,1007,UCSD,California-San Diego,Tritons,Big West,1060.8539533687306,7 - 0
274,275,ALA,Alabama,Crimson Tide,Southeastern,1060.8298134887564,5 - 2
340,341,SANCLR,Santa Clara,Broncos,West Coast,1060.2593257863439,7 - 1
63,64,BUTL,Butler,Bulldogs,Big East,1059.1575228595755,6 - 1
46,47,STBON,St. Bonaventure,Bonnies,Atlantic 10,1058.5191370373425,7 - 1
