,ID,Key,Name,Mascot,Conference,ELO,Record
17,18,OKC,Oklahoma City,Thunder,Western,1184.7628052808302,16 - 1
13,14,DET,Detroit,Pistons,Eastern,1157.0033192508565,13 - 2
19,20,DEN,Denver,Nuggets,Western,1125.0524649113397,12 - 3
26,27,LAL,Los Angeles,Lakers,Western,1107.057685833267,11 - 4
21,22,HOU,Houston,Rockets,Western,1094.783841597415,10 - 4
9,10,TOR,Toronto,Raptors,Eastern,1093.9546923507114,11 - 5
23,24,SA,San Antonio,Spurs,Western,1088.247666467826,11 - 4
3,4,MIA,Miami,Heat,Eastern,1084.410449024914,10 - 6
28,29,PHO,Phoenix,Suns,Western,1067.9678210203328,10 - 6
11,12,CLE,Cleveland,Cavaliers,Eastern,1066.7889896412166,11 - 6
5,6,NY,New York,Knicks,Eastern,1052.930220310914,9 - 5
4,5,ORL,Orlando,Magic,Eastern,1044.7768490224878,9 - 7
15,16,MIN,Minnesota,Timberwolves,Western,1038.8750791824634,10 - 6
2,3,ATL,Atlanta,Hawks,Eastern,1038.749099814989,9 - 7
6,7,PHI,Philadelphia,76ers,Eastern,1038.515203501806,9 - 6
10,11,CHI,Chicago,Bulls,Eastern,1007.0342769258164,8 - 7
8,9,BOS,Boston,Celtics,Eastern,989.375037769363,8 - 8
25,26,GS,Golden State,Warriors,Western,983.3655990314213,9 - 9
14,15,MIL,Milwaukee,Bucks,Eastern,977.2318359223311,8 - 8
18,19,POR,Portland,Trail Blazers,Western,967.1890503692543,7 - 9
16,17,UTA,Utah,Jazz,Western,931.6805458984961,5 - 10
20,21,MEM,Memphis,Grizzlies,Western,911.931788148214,5 - 11
24,25,DAL,Dallas,Mavericks,Western,901.6243942377497,5 - 12
27,28,LAC,Los Angeles,Clippers,Western,892.3905251018459,4 - 11
7,8,BKN,Brooklyn,Nets,Eastern,890.5301255551558,3 - 12
1,2,CHA,Charlotte,Hornets,Eastern,887.7846890440081,4 - 11
29,30,SAC,Sacramento,Kings,Western,871.6163104224689,3 - 13
12,13,IND,Indiana,Pacers,Eastern,845.5542471434635,2 - 14
22,23,NO,New Orleans,Pelicans,Western,844.677450752603,2 - 14
0,1,WAS,Washington,Wizards,Eastern,814.1379364664382,1 - 14
30,31,SHQ,Team,Shaq,n/a,100.0,0 - 0
31,32,CAN,Team,Candace,n/a,100.0,0 - 0
32,67,KEN,Team,Kenny,n/a,100.0,0 - 0
33,68,CHK,Team,Chuck,n/a,100.0,0 - 0
