,GameEndDateTime,GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,Updated,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,IsClosed,NeutralVenue,DateTimeUTC,GameEndDateTIme,SeriesInfo
0,2025-10-21T23:01:05,22433,2026,1,F/OT,2025-10-21T00:00:00,2025-10-21T19:30:00,HOU,OKC,22,18,18,124,125,2025-10-21T23:14:02,20022433,20000022,20000018,True,False,2025-10-21T23:30:00,2025-10-21T23:01:05,
1,2025-10-22T00:46:08,22434,2026,1,Final,2025-10-21T00:00:00,2025-10-21T22:00:00,GS,LAL,26,27,27,119,109,2025-10-22T01:02:39,20022434,20000026,20000027,True,False,2025-10-22T02:00:00,2025-10-22T00:46:08,
3,2025-10-22T21:42:03,22546,2026,1,Final,2025-10-22T00:00:00,2025-10-22T19:00:00,MIA,ORL,4,5,5,121,125,2025-10-22T21:59:06,20022546,20000004,20000005,True,False,2025-10-22T23:00:00,2025-10-22T21:42:03,
2,2025-10-22T21:40:20,22545,2026,1,Final,2025-10-22T00:00:00,2025-10-22T19:00:00,BKN,CHA,8,2,2,117,136,2025-10-22T21:59:06,20022545,20000008,20000002,True,False,2025-10-22T23:00:00,2025-10-22T21:40:20,
0,2025-10-22T21:43:24,22435,2026,1,Final,2025-10-22T00:00:00,2025-10-22T19:00:00,CLE,NY,12,6,6,111,119,2025-10-22T22:01:22,20022435,20000012,20000006,True,False,2025-10-22T23:00:00,2025-10-22T21:43:24,
5,2025-10-22T22:11:38,22548,2026,1,Final,2025-10-22T00:00:00,2025-10-22T19:30:00,PHI,BOS,7,9,9,117,116,2025-10-22T22:30:53,20022548,20000007,20000009,True,False,2025-10-22T23:30:00,2025-10-22T22:11:38,
4,2025-10-22T22:11:49,22547,2026,1,Final,2025-10-22T00:00:00,2025-10-22T19:30:00,TOR,ATL,10,3,3,138,118,2025-10-22T22:30:53,20022547,20000010,20000003,True,False,2025-10-22T23:30:00,2025-10-22T22:11:49,
8,2025-10-22T22:28:02,22551,2026,1,Final,2025-10-22T00:00:00,2025-10-22T20:00:00,WAS,MIL,1,15,15,120,133,2025-10-22T22:46:28,20022551,20000001,20000015,True,False,2025-10-23T00:00:00,2025-10-22T22:28:02,
7,2025-10-22T22:48:05,22550,2026,1,Final,2025-10-22T00:00:00,2025-10-22T20:00:00,NO,MEM,23,21,21,122,128,2025-10-22T23:01:45,20022550,20000023,20000021,True,False,2025-10-23T00:00:00,2025-10-22T22:48:05,
6,2025-10-22T22:44:43,22549,2026,1,Final,2025-10-22T00:00:00,2025-10-22T20:00:00,DET,CHI,14,11,11,111,115,2025-10-22T23:01:45,20022549,20000014,20000011,True,False,2025-10-23T00:00:00,2025-10-22T22:44:43,
9,2025-10-22T23:33:39,22552,2026,1,Final,2025-10-22T00:00:00,2025-10-22T21:00:00,LAC,UTA,28,17,17,108,129,2025-10-22T23:47:51,20022552,20000028,20000017,True,False,2025-10-23T01:00:00,2025-10-22T23:33:39,
1,2025-10-23T00:16:00,22436,2026,1,Final,2025-10-22T00:00:00,2025-10-22T21:30:00,SA,DAL,24,25,25,125,92,2025-11-22T04:02:17,20022436,20000024,20000025,True,False,2025-10-23T01:30:00,2025-10-23T00:16:00,
11,2025-10-23T00:38:10,22554,2026,1,Final,2025-10-22T00:00:00,2025-10-22T22:00:00,MIN,POR,16,19,19,118,114,2025-10-23T00:50:20,20022554,20000016,20000019,True,False,2025-10-23T02:00:00,2025-10-23T00:38:10,
10,2025-10-23T00:39:40,22553,2026,1,Final,2025-10-22T00:00:00,2025-10-22T22:00:00,SAC,PHO,30,29,28,116,120,2025-10-23T00:52:20,20022553,20000030,20000029,True,False,2025-10-23T02:00:00,2025-10-23T00:39:40,
0,2025-10-23T22:59:56,22437,2026,1,F/OT,2025-10-23T00:00:00,2025-10-23T19:30:00,OKC,IND,18,13,13,141,135,2025-10-23T23:20:06,20022437,20000018,20000013,True,False,2025-10-23T23:30:00,2025-10-23T22:59:56,
1,2025-10-24T00:48:51,22439,2026,1,F/OT,2025-10-23T00:00:00,2025-10-23T22:00:00,DEN,GS,20,26,51,131,137,2025-11-23T04:02:27,20022439,20000020,20000026,True,False,2025-10-24T02:00:00,2025-10-24T00:48:51,
4,2025-10-24T21:12:26,22557,2026,1,Final,2025-10-24T00:00:00,2025-10-24T18:30:00,MIL,TOR,15,10,10,122,116,2025-10-24T21:30:49,20022557,20000015,20000010,True,False,2025-10-24T22:30:00,2025-10-24T21:12:26,
2,2025-10-24T21:41:53,22555,2026,1,Final,2025-10-24T00:00:00,2025-10-24T19:00:00,ATL,ORL,3,5,5,111,107,2025-10-24T22:01:56,20022555,20000003,20000005,True,False,2025-10-24T23:00:00,2025-10-24T21:41:53,
3,2025-10-24T22:08:10,22556,2026,1,Final,2025-10-24T00:00:00,2025-10-24T19:30:00,CLE,BKN,12,8,8,131,124,2025-10-24T22:19:09,20022556,20000012,20000008,True,False,2025-10-24T23:30:00,2025-10-24T22:08:10,
0,2025-10-24T22:06:51,22483,2026,1,Final,2025-10-24T00:00:00,2025-10-24T19:30:00,BOS,NY,9,6,6,95,105,2025-10-24T22:17:41,20022483,20000009,20000006,True,False,2025-10-24T23:30:00,2025-10-24T22:06:51,
7,2025-10-24T22:56:26,22560,2026,1,F/OT,2025-10-24T00:00:00,2025-10-24T20:00:00,SA,NO,24,23,23,120,116,2025-10-24T23:04:40,20022560,20000024,20000023,True,False,2025-10-25T00:00:00,2025-10-24T22:56:26,
6,2025-10-24T22:19:47,22559,2026,1,Final,2025-10-24T00:00:00,2025-10-24T20:00:00,MIA,MEM,4,21,21,146,114,2025-10-24T22:33:21,20022559,20000004,20000021,True,False,2025-10-25T00:00:00,2025-10-24T22:19:47,
5,2025-10-24T22:58:00,22558,2026,1,Final,2025-10-24T00:00:00,2025-10-24T20:00:00,DET,HOU,14,22,22,115,111,2025-10-24T23:06:38,20022558,20000014,20000022,True,False,2025-10-25T00:00:00,2025-10-24T22:58:00,
8,2025-10-24T23:04:15,22561,2026,1,Final,2025-10-24T00:00:00,2025-10-24T20:30:00,WAS,DAL,1,25,25,117,107,2025-10-24T23:20:40,20022561,20000001,20000025,True,False,2025-10-25T00:30:00,2025-10-24T23:04:15,
9,2025-10-25T00:36:52,22562,2026,1,Final,2025-10-24T00:00:00,2025-10-24T22:00:00,GS,POR,26,19,19,119,139,2025-10-25T00:53:35,20022562,20000026,20000019,True,False,2025-10-25T02:00:00,2025-10-25T00:36:52,
1,2025-10-25T00:46:32,22484,2026,1,Final,2025-10-24T00:00:00,2025-10-24T22:00:00,MIN,LAL,16,27,27,110,128,2025-10-25T00:53:35,20022484,20000016,20000027,True,False,2025-10-25T02:00:00,2025-10-25T00:46:32,
10,2025-10-25T00:27:45,22563,2026,1,Final,2025-10-24T00:00:00,2025-10-24T22:00:00,UTA,SAC,17,30,29,104,105,2025-10-25T00:37:28,20022563,20000017,20000030,True,False,2025-10-25T02:00:00,2025-10-25T00:27:45,
11,2025-10-25T01:06:29,22564,2026,1,Final,2025-10-24T00:00:00,2025-10-24T22:30:00,PHO,LAC,29,28,106,102,129,2025-10-25T01:24:41,20022564,20000029,20000028,True,False,2025-10-25T02:30:00,2025-10-25T01:06:29,
0,2025-10-25T21:29:45,22565,2026,1,Final,2025-10-25T00:00:00,2025-10-25T19:00:00,CHI,ORL,11,5,5,110,98,2025-10-25T21:49:46,20022565,20000011,20000005,True,False,2025-10-25T23:00:00,2025-10-25T21:29:45,
2,2025-10-25T22:12:07,22567,2026,1,Final,2025-10-25T00:00:00,2025-10-25T19:30:00,CHA,PHI,2,7,7,121,125,2025-10-25T22:21:01,20022567,20000002,20000007,True,False,2025-10-25T23:30:00,2025-10-25T22:12:07,
1,2025-10-25T21:54:08,22566,2026,1,Final,2025-10-25T00:00:00,2025-10-25T19:30:00,OKC,ATL,18,3,3,117,100,2025-10-25T22:05:21,20022566,20000018,20000003,True,False,2025-10-25T23:30:00,2025-10-25T21:54:08,
3,2025-10-25T22:28:36,22568,2026,1,Final,2025-10-25T00:00:00,2025-10-25T20:00:00,IND,MEM,13,21,21,103,128,2025-10-25T22:36:44,20022568,20000013,20000021,True,False,2025-10-26T00:00:00,2025-10-25T22:28:36,
4,2025-10-25T23:56:40,22569,2026,1,Final,2025-10-25T00:00:00,2025-10-25T21:00:00,PHO,DEN,29,20,20,111,133,2025-10-26T00:07:18,20022569,20000029,20000020,True,False,2025-10-26T01:00:00,2025-10-25T23:56:40,
0,2025-10-26T16:45:57,22570,2026,1,Final,2025-10-26T00:00:00,2025-10-26T14:00:00,BKN,SA,8,24,24,107,118,2025-10-26T16:55:05,20022570,20000008,20000024,True,False,2025-10-26T18:00:00,2025-10-26T16:45:57,
1,2025-10-26T18:31:02,22571,2026,1,Final,2025-10-26T00:00:00,2025-10-26T15:30:00,BOS,DET,9,14,14,113,119,2025-10-26T18:43:57,20022571,20000009,20000014,True,False,2025-10-26T19:30:00,2025-10-26T18:31:02,
2,2025-10-26T20:48:02,22572,2026,1,Final,2025-10-26T00:00:00,2025-10-26T18:00:00,MIL,CLE,15,12,12,113,118,2025-10-26T21:04:12,20022572,20000015,20000012,True,False,2025-10-26T22:00:00,2025-10-26T20:48:02,
3,2025-10-26T20:36:33,22573,2026,1,Final,2025-10-26T00:00:00,2025-10-26T18:00:00,NY,MIA,6,4,4,107,115,2025-10-26T20:48:25,20022573,20000006,20000004,True,False,2025-10-26T22:00:00,2025-10-26T20:36:33,
4,2025-10-26T20:44:15,22574,2026,1,Final,2025-10-26T00:00:00,2025-10-26T18:00:00,CHA,WAS,2,1,1,139,113,2025-10-26T21:04:12,20022574,20000002,20000001,True,False,2025-10-26T22:00:00,2025-10-26T20:44:15,
5,2025-10-26T21:43:33,22575,2026,1,Final,2025-10-26T00:00:00,2025-10-26T19:00:00,IND,MIN,13,16,16,110,114,2025-10-26T21:50:38,20022575,20000013,20000016,True,False,2025-10-26T23:00:00,2025-10-26T21:43:33,
6,2025-10-26T22:10:56,22576,2026,1,Final,2025-10-26T00:00:00,2025-10-26T19:30:00,TOR,DAL,10,25,25,129,139,2025-10-26T22:21:52,20022576,20000010,20000025,True,False,2025-10-26T23:30:00,2025-10-26T22:10:56,
7,2025-10-26T23:38:16,22577,2026,1,Final,2025-10-26T00:00:00,2025-10-26T21:00:00,POR,LAC,19,28,106,107,114,2025-10-26T23:55:30,20022577,20000019,20000028,True,False,2025-10-27T01:00:00,2025-10-26T23:38:16,
8,2025-10-26T23:41:19,22578,2026,1,Final,2025-10-26T00:00:00,2025-10-26T21:00:00,LAL,SAC,27,30,29,127,120,2025-10-26T23:55:30,20022578,20000027,20000030,True,False,2025-10-27T01:00:00,2025-10-26T23:41:19,
0,2025-10-27T21:42:47,22440,2026,1,Final,2025-10-27T00:00:00,2025-10-27T19:00:00,CLE,DET,12,14,14,116,95,2025-10-27T21:52:55,20022440,20000012,20000014,True,False,2025-10-27T23:00:00,2025-10-27T21:42:47,
2,2025-10-27T21:43:47,22579,2026,1,Final,2025-10-27T00:00:00,2025-10-27T19:00:00,ORL,PHI,5,7,7,124,136,2025-10-27T21:52:55,20022579,20000005,20000007,True,False,2025-10-27T23:00:00,2025-10-27T21:43:47,
3,2025-10-27T22:24:19,22580,2026,1,Final,2025-10-27T00:00:00,2025-10-27T20:00:00,ATL,CHI,3,11,11,123,128,2025-10-27T22:39:50,20022580,20000003,20000011,True,False,2025-10-28T00:00:00,2025-10-27T22:24:19,
4,2025-10-27T22:23:16,22581,2026,1,Final,2025-10-27T00:00:00,2025-10-27T20:00:00,BKN,HOU,8,22,22,109,137,2025-10-27T22:39:50,20022581,20000008,20000022,True,False,2025-10-28T00:00:00,2025-10-27T22:23:16,
5,2025-10-27T22:26:48,22582,2026,1,Final,2025-10-27T00:00:00,2025-10-27T20:00:00,BOS,NO,9,23,23,122,90,2025-10-27T22:39:50,20022582,20000009,20000023,True,False,2025-10-28T00:00:00,2025-10-27T22:26:48,
