,GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,AwayTeamScore,HomeTeamScore,Updated,Period,TimeRemainingMinutes,TimeRemainingSeconds,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,TournamentID,Bracket,Round,AwayTeamSeed,HomeTeamSeed,AwayTeamPreviousGameID,HomeTeamPreviousGameID,AwayTeamPreviousGlobalGameID,HomeTeamPreviousGlobalGameID,TournamentDisplayOrder,TournamentDisplayOrderForHomeTeam,IsClosed,GameEndDateTime,HomeRotationNumber,AwayRotationNumber,TopTeamPreviousGameId,BottomTeamPreviousGameId,Channel,NeutralVenue,AwayPointSpreadPayout,HomePointSpreadPayout,OverPayout,UnderPayout,DateTimeUTC,Attendance,Stadium,Periods
0,67626,2026,1,Final,2025-11-20T00:00:00,2025-11-20T19:00:00,BUCK,STJOHN,257,67,18.0,35.0,2025-11-21T00:13:14,F,0.0,0.0,-10.4,57.5,1153.0,-7300.0,60067626,60000257,60000067,,,,,,,,,,,Scrambled,True,2025-11-20T21:13:43,111913.0,111913.0,,,TNT,False,-40.0,-41.0,-41.0,-41.0,2025-11-21T00:00:00,5260.0,"{'StadiumID': 19, 'Active': True, 'Name': 'Carnesecca Arena', 'Address': None, 'City': 'Queens', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 5602, 'GeoLat': 40.724167, 'GeoLong': -73.794444}","[{'PeriodID': 117987, 'GameID': 67626, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 15}, {'PeriodID': 118024, 'GameID': 67626, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 20}]"
1,67718,2026,1,Final,2025-11-20T00:00:00,2025-11-20T19:00:00,ELON,MIA,130,23,26.0,36.0,2025-11-21T00:13:14,F,0.0,0.0,-7.5,59.9,440.0,-1086.0,60067718,60000130,60000023,,,,,,,,,,,Scrambled,True,2025-11-20T21:06:29,265.0,265.0,,,ACC,False,-41.0,-40.0,-41.0,-40.0,2025-11-21T00:00:00,4131.0,"{'StadiumID': 115, 'Active': True, 'Name': 'Watsco Center', 'Address': None, 'City': 'Coral Gables', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 7972, 'GeoLat': 25.715, 'GeoLong': -80.279167}","[{'PeriodID': 117985, 'GameID': 67718, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 15, 'HomeScore': 18}, {'PeriodID': 118020, 'GameID': 67718, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 11, 'HomeScore': 19}]"
2,67835,2026,1,Final,2025-11-20T00:00:00,2025-11-20T20:00:00,SDAK,MISSR,321,280,25.0,37.0,2025-11-21T00:13:14,F,0.0,0.0,-9.1,63.0,662.0,-3389.0,60067835,60000321,60000280,,,,,,,,,,,Scrambled,True,2025-11-20T22:03:33,267.0,267.0,,,SEC,False,-41.0,-40.0,-41.0,-41.0,2025-11-21T01:00:00,8027.0,"{'StadiumID': 62, 'Active': True, 'Name': 'Mizzou Arena', 'Address': None, 'City': 'Columbia', 'State': 'MO', 'Zip': None, 'Country': None, 'Capacity': 15061, 'GeoLat': 38.93237, 'GeoLong': -92.33303}","[{'PeriodID': 118006, 'GameID': 67835, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 15, 'HomeScore': 19}, {'PeriodID': 118032, 'GameID': 67835, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 18}]"
3,67869,2026,1,Final,2025-11-20T00:00:00,2025-11-20T19:00:00,LIUB,FORDM,229,53,19.0,25.0,2025-11-21T00:13:14,F,0.0,0.0,-1.6,53.1,56.0,-69.0,60067869,60000229,60000053,,,,,,,,,,,Scrambled,True,2025-11-20T20:59:52,111911.0,111911.0,,,ESPN+,False,-40.0,-40.0,-40.0,-41.0,2025-11-21T00:00:00,1020.0,"{'StadiumID': 279, 'Active': True, 'Name': 'Rose Hill Gymnasium', 'Address': None, 'City': 'Bronx', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 3200, 'GeoLat': 40.862148, 'GeoLong': -73.883824}","[{'PeriodID': 117992, 'GameID': 67869, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 11, 'HomeScore': 14}, {'PeriodID': 118019, 'GameID': 67869, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 11}]"
4,68176,2026,1,Final,2025-11-20T00:00:00,2025-11-20T21:00:00,RIDER,HOU,173,6,16.0,33.0,2025-11-21T00:13:14,F,0.0,0.0,-15.0,49.1,,,60068176,60000173,60000006,,,,,,,,,,,Scrambled,True,2025-11-20T22:57:44,271.0,270.0,,,TNT,False,-40.0,-41.0,-41.0,-40.0,2025-11-21T02:00:00,7035.0,"{'StadiumID': 343, 'Active': True, 'Name': 'Fertitta Center', 'Address': None, 'City': 'Houston', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7035, 'GeoLat': 29.724722, 'GeoLong': -95.346944}","[{'PeriodID': 118034, 'GameID': 68176, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 17}, {'PeriodID': 118044, 'GameID': 68176, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 16}]"
5,68325,2026,1,Final,2025-11-20T00:00:00,2025-11-20T20:00:00,RCKFRD,ILLST,626,204,18.0,34.0,2025-11-21T00:13:14,F,0.0,0.0,,,,,60068325,60000626,60000204,,,,,,,,,,,Scrambled,True,2025-11-20T21:44:18,,,,,ESPN+,False,,,,,2025-11-21T01:00:00,3127.0,"{'StadiumID': 34, 'Active': True, 'Name': 'CEFCU Arena', 'Address': None, 'City': 'Normal', 'State': 'IL', 'Zip': None, 'Country': None, 'Capacity': 9600, 'GeoLat': 40.510606, 'GeoLong': -88.999011}","[{'PeriodID': 118009, 'GameID': 68325, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 3, 'HomeScore': 18}, {'PeriodID': 118029, 'GameID': 68325, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 4, 'HomeScore': 16}]"
6,68546,2026,1,Final,2025-11-20T00:00:00,2025-11-20T18:00:00,ROBMS,STBON,230,47,22.0,27.0,2025-11-21T00:13:14,F,0.0,0.0,-4.2,53.7,194.0,-290.0,60068546,60000230,60000047,,,,,,,,,,,Scrambled,True,2025-11-20T19:50:39,264.0,264.0,,,ESPN+,False,-39.0,-42.0,-40.0,-41.0,2025-11-20T23:00:00,3353.0,"{'StadiumID': 88, 'Active': True, 'Name': 'Reilly Center', 'Address': None, 'City': 'Saint Bonaventure', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 5480, 'GeoLat': 42.079428, 'GeoLong': -78.484998}","[{'PeriodID': 117980, 'GameID': 68546, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 12, 'HomeScore': 14}, {'PeriodID': 117998, 'GameID': 68546, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 10, 'HomeScore': 14}]"
7,68768,2026,1,Final,2025-11-20T00:00:00,2025-11-20T19:00:00,PITT,UCF,28,8,24.0,28.0,2025-11-21T00:13:14,F,0.0,0.0,0.2,54.6,-46.0,38.0,60068768,60000028,60000008,,,,,,,,,,,Scrambled,True,2025-11-20T21:03:17,264.0,263.0,,,ESPN2,True,-40.0,-41.0,-40.0,-41.0,2025-11-21T00:00:00,1006.0,"{'StadiumID': 510, 'Active': True, 'Name': 'Ocean Center', 'Address': None, 'City': 'Daytona Beach', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 8362, 'GeoLat': None, 'GeoLong': None}","[{'PeriodID': 117993, 'GameID': 68768, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 13, 'HomeScore': 14}, {'PeriodID': 118023, 'GameID': 68768, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 11, 'HomeScore': 14}]"
8,68769,2026,1,Final,2025-11-20T00:00:00,2025-11-20T20:59:00,TXTECH,WAKE,111,34,31.0,30.0,2025-11-21T00:13:14,F,0.0,0.0,1.3,58.6,-191.0,138.0,60068769,60000111,60000034,,,,,,,,,,,Scrambled,True,2025-11-20T23:08:07,274.0,274.0,,,CBSS,True,-41.0,-40.0,-41.0,-41.0,2025-11-21T01:59:00,2437.0,"{'StadiumID': 462, 'Active': True, 'Name': 'Baha Mar Convention Center', 'Address': None, 'City': 'Nassau', 'State': 'Bahamas', 'Zip': None, 'Country': None, 'Capacity': 2000, 'GeoLat': 25.071316, 'GeoLong': -77.40116}","[{'PeriodID': 118028, 'GameID': 68769, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 13, 'HomeScore': 12}, {'PeriodID': 118040, 'GameID': 68769, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 18, 'HomeScore': 18}]"
9,68942,2026,1,Final,2025-11-20T00:00:00,2025-11-20T18:30:00,BROWN,STBR,163,12,26.0,29.0,2025-11-21T00:13:14,F,0.0,0.0,-1.3,49.6,52.0,-64.0,60068942,60000163,60000012,,,,,,,,,,,Scrambled,True,2025-11-20T20:26:28,261.0,261.0,,,FloC,False,-41.0,-40.0,-41.0,-41.0,2025-11-20T23:30:00,1243.0,"{'StadiumID': 629, 'Active': True, 'Name': 'Stony Brook Arena', 'Address': None, 'City': 'Stony Brook', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': None, 'GeoLat': None, 'GeoLong': None}","[{'PeriodID': 117982, 'GameID': 68942, 'Number': 1, 'Name': '1', 'Type': 'Half', 'AwayScore': 12, 'HomeScore': 18}, {'PeriodID': 118003, 'GameID': 68942, 'Number': 2, 'Name': '2', 'Type': 'Half', 'AwayScore': 14, 'HomeScore': 11}]"
