,TeamID,Key,Active,City,Name,LeagueID,StadiumID,Conference,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID,NbaDotComTeamID,HeadCoach
0,1,WAS,True,Washington,Wizards,3,1.0,Eastern,Southeast,002B5C,E31837,C4CED4,FFFFFF,https://upload.wikimedia.org/wikipedia/en/0/02/Washington_Wizards_logo.svg,,20000001,1610612764.0,Brian Keefe
1,2,CHA,True,Charlotte,Hornets,3,2.0,Eastern,Southeast,00788C,1D1160,A1A1A4,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c4/Charlotte_Hornets_%282014%29.svg,,20000002,1610612766.0,Charles Lee
2,3,ATL,True,Atlanta,Hawks,3,3.0,Eastern,Southeast,C8102E,FDB927,000000,9EA2A2,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,,20000003,1610612737.0,Quin Snyder
3,4,MIA,True,Miami,Heat,3,4.0,Eastern,Southeast,000000,98002E,F9A01B,,https://upload.wikimedia.org/wikipedia/en/f/fb/Miami_Heat_logo.svg,,20000004,1610612748.0,Erik Spoelstra
4,5,ORL,True,Orlando,Magic,3,5.0,Eastern,Southeast,0050B5,000000,C4CED4,,https://upload.wikimedia.org/wikipedia/en/1/10/Orlando_Magic_logo.svg,,20000005,1610612753.0,Jamahl Mosley
5,6,NY,True,New York,Knicks,3,6.0,Eastern,Atlantic,1D428A,F58426,9EA2A2,000000,https://upload.wikimedia.org/wikipedia/en/2/25/New_York_Knicks_logo.svg,,20000006,1610612752.0,Mike Brown
6,7,PHI,True,Philadelphia,76ers,3,7.0,Eastern,Atlantic,1D428A,C8102E,9EA2A2,002B5C,https://upload.wikimedia.org/wikipedia/en/0/0e/Philadelphia_76ers_logo.svg,,20000007,1610612755.0,Nick Nurse
7,8,BKN,True,Brooklyn,Nets,3,8.0,Eastern,Atlantic,000000,FFFFFF,6F7271,,https://upload.wikimedia.org/wikipedia/en/4/40/Brooklyn_Nets_primary_icon_logo_2024.svg,,20000008,1610612751.0,Jordi Fernández
8,9,BOS,True,Boston,Celtics,3,9.0,Eastern,Atlantic,008348,FFFFFF,000000,BB9753,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg,,20000009,1610612738.0,Joe Mazzulla
9,10,TOR,True,Toronto,Raptors,3,10.0,Eastern,Atlantic,CE1141,000000,393A96,B4975A,https://upload.wikimedia.org/wikipedia/en/3/36/Toronto_Raptors_logo.svg,,20000010,1610612761.0,Darko Rajakovic
