,TeamID,Key,Active,School,Name,ApRank,Wins,Losses,ConferenceWins,ConferenceLosses,GlobalTeamID,ConferenceID,Conference,TeamLogoUrl,ShortDisplayName,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,Stadium
0,1,SMU,True,SMU,Mustangs,,5.0,0.0,0.0,0.0,60000001,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/1.png,SMU,CC0035,354CA1,,,"{'StadiumID': 101, 'Active': True, 'Name': 'Moody Coliseum', 'Address': None, 'City': 'Dallas', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7000, 'GeoLat': 32.840278, 'GeoLong': -96.780556}"
1,2,TEMPL,True,Temple,Owls,,3.0,1.0,0.0,0.0,60000002,1.0,American,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/2.png,TEMPLE,A41E35,FFFFFF,,,"{'StadiumID': 45, 'Active': True, 'Name': 'Liacouras Center', 'Address': None, 'City': 'Philadelphia', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 10206, 'GeoLat': 39.979722, 'GeoLong': -75.158611}"
2,3,UCONN,True,Connecticut,Huskies,3.0,4.0,1.0,0.0,0.0,60000003,6.0,Big East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/3.png,UCONN,000e2f,FFFFFF,,,"{'StadiumID': 290, 'Active': True, 'Name': 'Gampel Pavilion', 'Address': None, 'City': 'Storrs', 'State': 'CT', 'Zip': None, 'Country': None, 'Capacity': 10167, 'GeoLat': 41.805292, 'GeoLong': -72.254194}"
3,4,CIN,True,Cincinnati,Bearcats,,4.0,0.0,0.0,0.0,60000004,10.0,Big 12,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/4.png,CIN,E00122,000000,,,"{'StadiumID': 86, 'Active': True, 'Name': 'Fifth Third Arena', 'Address': None, 'City': 'Cincinnati', 'State': 'OH', 'Zip': None, 'Country': None, 'Capacity': 12012, 'GeoLat': 39.131101, 'GeoLong': -84.514207}"
4,5,TULSA,True,Tulsa,Golden Hurricane,,3.0,1.0,0.0,0.0,60000005,1.0,American,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/5.png,TULSA,0A2240,C2A01E,CE0E2D,,"{'StadiumID': 48, 'Active': True, 'Name': 'Reynolds Center', 'Address': None, 'City': 'Tulsa', 'State': 'OK', 'Zip': None, 'Country': None, 'Capacity': 8355, 'GeoLat': 36.148611, 'GeoLong': -95.941944}"
5,6,HOU,True,Houston,Cougars,2.0,5.0,0.0,0.0,0.0,60000006,10.0,Big 12,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/6.png,UH,C8102E,FFFFFF,,,"{'StadiumID': 343, 'Active': True, 'Name': 'Fertitta Center', 'Address': None, 'City': 'Houston', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7035, 'GeoLat': 29.724722, 'GeoLong': -95.346944}"
6,7,MPHS,True,Memphis,Tigers,,1.0,3.0,0.0,0.0,60000007,1.0,American,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/7.png,MEM,003087,898D8D,,,"{'StadiumID': 47, 'Active': True, 'Name': 'FedExForum', 'Address': None, 'City': 'Memphis', 'State': 'TN', 'Zip': None, 'Country': None, 'Capacity': 18400, 'GeoLat': 35.138333, 'GeoLong': -90.050556}"
7,8,UCF,True,UCF,Knights,,5.0,1.0,0.0,0.0,60000008,10.0,Big 12,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/8.png,UCF,000000,FFC904,,,"{'StadiumID': 20, 'Active': True, 'Name': 'Addition Financial Arena', 'Address': None, 'City': 'Orlando', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 10000, 'GeoLat': 28.6068, 'GeoLong': -81.1976}"
8,9,ECAR,True,East Carolina,Pirates,,2.0,2.0,0.0,0.0,60000009,1.0,American,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/9.png,ECU,582C83,FFC72C,,,"{'StadiumID': 46, 'Active': True, 'Name': 'Minges Coliseum', 'Address': None, 'City': 'Greenville', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 7100, 'GeoLat': 35.597391, 'GeoLong': -77.367167}"
9,10,TULANE,True,Tulane,Green Wave,,3.0,2.0,0.0,0.0,60000010,1.0,American,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/10.png,TULANE,21543F,71C5E8,,,"{'StadiumID': 176, 'Active': True, 'Name': 'Devlin Fieldhouse', 'Address': None, 'City': 'New Orleans', 'State': 'LA', 'Zip': None, 'Country': None, 'Capacity': 4100, 'GeoLat': 29.938611, 'GeoLong': -90.120556}"
